Num,Artist,Title,Album,Year,Date,Lyric
441,Drake,Work (Demo),Drake Demo Disk,2017,2017-04-21,lyrics from snippet  drake i spilled all my emotions tonight i'm sorry rollin' rollin' rollin' rollin' rollin' you don't even drink at all yeah
442,Drake,MSG Freestyle (Hot 97),Drake Demo Disk,2016,2016-08-04,they tellin' lies on hot 97 that's how it goes i told 'em fire funk flex then i'll come and do your show plus me and kanye we just left out of the studio my first night in the garden i'm feelin' like d rose
443,Drake,One Man Show,Drake Demo Disk,2010,2010-05-10,look i ain't never had a benzo nope i pushed me an ac wit the tintzo nosey niggas is peakin' in my window have a hard time looking i tell you second hand that's a hard grind cooking cause my pop was in it so deep if his son wanted in it these dealers would probably drop percentage instead i drop bars like i'm two months sober its my time now so them you months over  yeah if i want it i find me a way to get that i'm trying to get to the point where i can sit back took a lot of patience and action i grind so i'm anticipating relaxing i'm thinking bout replacing the jacksons on top of the charts i don't need brothers fillin' space in the back than so from the kid with the sun tan flow the hottest ticket in town to this one man show   i think that you know as well as i know people checkin' for me every where that i go what you gotta understand that it's me i be until the motherfucking day that i die i think that you know as well as i know people checkin' for me every where that i go what you gotta understand that it's me i be until the motherfucking day that i die   i can easily make'em admit to bounce back without knowing exactly where my accounts at yeah you best believe that i often tend to surpass what the rest achieve so they don't like me and throw parties and yet they never invite me i can't lie sometime it bother me slightly  either way the true fans yell i appear calm and its obvious so who can tell and no this ain't blu cantrell this is like perfection though we both got the light complexion couple things that i do that well and the way that i jackson you think that drake new saml as in samuel jackson i've been real though  they stay kicking it with me like a field goal see i'm humble but i live vain with more deals on the table than a  game   i think that you know as well as i know people checkin' for me every where that i go what you gotta understand that it's me i be until the motherfucking day that i die i think that you know as well as i know people checkin' for me every where that i go what you gotta understand that it's me i be until the motherfucking day that i die
444,Drake,Acapella,Drake Demo Disk,2006,2006-01-01,this the record that my backpack underground fans get to skippin' back back southern town fans get to tippin' chasin' fat stacks runnin' down grands and submission i don't back track every single sound for me different i don't own no ice i just got clean rap i don't ever two step i just rock lean snap we could take it out to houston where the rides all glossed up anybody i'm standin' beside's all bossed up burglar minded they say i'm servin' them rhymers and me and nickel f go together like burgers and diners yes i'm like a waiter and you something like a hater with trays in both hands place an order i can cater uh i got the diamonds in my teeth flow memphis is the reason that my rhyming and my speech slow peep though when i get fed up its sped up riding through the streets just reclining in my seat hoe uh them city lights is looking brighter its  am in the morning an' the pen is like a lighter im just a writer flaming pages of a notebook my rachel mcadams get at em when i ignite her yup soon as a couple plan a trip you smell gasoline im burning all up and down the strip strip i done said it i give you the unleaded just tip me if your tank is empty come get me  hook yo the city is mine  which one toronto drake that's me you know how the story goes pull up range rove yo chick wanna roll and i play myself in the stereo and i make 'em wanna shake shake it drop it drop it bounce it bounce it wop it wop it girl move that thang like you gettin money for college go shake shake it drop it drop it bounce it bounce it wop it wop it girl move that thang like you gettin money for college go   break it down like you working for your tuition at howard mama get it how you live that thang that you working is power tryna be generous so honey here's a tip nowadays it's gettin cheaper to put 0's on the whip so if you a opportunist look for 0's in the clip and if you find 'em attractive and funny that's when you dip dip and it's a trip my city broke into sections up north i got me a couple of troubles couple connections and it's nothing that i created on purpose there's people that gotta problem but they scared to let it surface uh ya boy say this that and the third to 'em see me out and they never utter a word to 'em expect me not to draw a card from the deck anybody in my city going hard i respect but you got a debt and you choose not to pay that i'mma hop ya fence come into your yard and collect lect uh it ain't a problem of concern bruh i always end up with exactly what i earn bruh this ain't last year money like a cashier so hand your receipt if you tryna make a return bruh yessir i live in a city where a lot of people don't get shine shine and i be on by the fence as soon as anybody stepping out of line line and i got way too much love for the city i can never get too much of and if anybody hatin' on me i deport 'em the city is mine boy  hook yo the city is mine  which one toronto drake that's me you know how the story goes pull up range rove yo chick wanna roll and i play myself in the stereo and i make 'em wanna shake shake it drop it drop it bounce it bounce it wop it wop it girl move that thang like you gettin money for college go shake shake it drop it drop it bounce it bounce it wop it wop it girl move that thang like you gettin money for college go   after that break it down break it break it down after that break it down break it break it down after that break it down break it break it down after that break it down break it break it down
445,Drake,November 14th [Chuck Inglish Remix],Drake Demo Disk,2017,2017-04-21,tell us that you would like to have the lyrics of this song then we'll make it our highest priority to find these lyrics first or perhaps you can help us out if you have the lyrics of this song it would be great if you can submit these that will definitely help us and the other visitors
446,Justin Bieber,Hotline Bling (Remix),Drake Demo Disk,2016,2016-02-05,what do you mean it's not like that oh you're sorry well where are you now that i need you but girl let me tell you something   i know you called him on his cell phone when you couldn't reach my love called him on his cell phone when you couldn't reach my love i know when that hotline bling i'm sure i'm not your only fling i know when that hotline bling i'm sure i'm not your only fling   every time i leave the city you been hangin' out with him like i don't know stay away from places that we always go tellin' him that we don't even talk no more every time he leave the city you try to run game on me like it's just us but i seen you in a snapchat on his tour bus when you hit my line it don't mean that much   i know you called him on his cell phone when you couldn't reach my love called him on his cell phone when you couldn't reach my love i know when that hotline blings sure i'm not your only flame i know when that hotline blings sure i'm not your only flame   every time i leave the city you you you tell me where he like to shop when you're up under him said you're lyin' 'bout being with your girlfriends when you take advantage of me bein' absent take advantage yeah and i really tried taking you serious baby its really your loss you had the chance being the only girl livin' in my heart and cross wanted to hold you down for a while keep you smiling no matter the cost would i double cross   we could be talking on my cell phone right now when you need my love lose the number to my cell phone cause you don't really care about my love call me on that hotline bling if you wanna be with me call me on that hotline bling right now if you wanna be with me
447,Drake,Plenty*,Drake Demo Disk,2017,2017-04-21,lyrics from snippet   when i get it plenty plenty plenty plenty plenty shenseea i'm gon' get you like eventually trust me im gonna make you say you love me before i'm loved by you woman slide through come get this girl you know that we
448,Drake,Started From the Bottom Deluxe - Don’t Delete,Drake Demo Disk,2018,2018-05-21,produced by mike zombie   started zombie on the track  hook started from the bottom now we're here started from the bottom now my whole team fucking here started from the bottom now we're here started from the bottom now the whole team here nigga started from the bottom now we're here started from the bottom now my whole team here nigga started from the bottom now we're here started from the bottom now the whole team fucking here   i done kept it real from the jump living at my momma's house we'd argue every month nigga i was tryna get it on my own working all night traffic on the way home and my uncle calling me like where ya at i gave you the keys told ya bring it right back nigga i just think it's funny how it goes now i'm on the road half a million for a show and we  hook started from the bottom now we're here started from the bottom now my whole team fucking here started from the bottom now we're here started from the bottom now the whole team here nigga started from the bottom now we're here started from the bottom now my whole team here nigga started from the bottom now we're here started from the bottom now the whole team fucking here   boys tell stories 'bout the man say i never struggled wasn't hungry yeah i doubt it nigga i could turn your boy into the man there ain't really much out here that's popping off without us nigga we just want the credit where it's due i'mma worry 'bout me give a fuck about you nigga just as a reminder to myself i wear every single chain even when i'm in the house cause we  hook started from the bottom now we're here started from the bottom now my whole team fucking here started from the bottom now we're here started from the bottom now the whole team here nigga started from the bottom now we're here started from the bottom now my whole team here nigga started from the bottom now we're here started from the bottom now the whole team fucking here   no new niggas nigga we don't feel that fuck a fake friend where your real friends at we don't like to do too much explaining story stayed the same i never changed it no new niggas nigga we don't feel that fuck a fake friend where you real friends at we don't like to do too much explaining story stayed the same through the money and the fame cause we  hook started from the bottom now we're here started from the bottom now my whole team fucking here started from the bottom now we're here started from the bottom now the whole team here nigga started from the bottom now we're here started from the bottom now my whole team here nigga started from the bottom now we're here started from the bottom now the whole team fucking here
449,Justin Bieber,Running Over,Changes,2020,2020-02-14,justin bieber from the beginning it was ending we were emotionally pending jeopardy second guessing got all the questions to my answers   justin bieber keep runnin' over me with your lovin' i'm only right here for your consumption keep runnin' over me with your lovin' lookin' like it's turnin' into something   justin bieber wednesday it feel like a tuesday when you met me i remember it like it was yesterday you just said hello i lost my sanity thought you was lookin' through me then you made me laugh with personality when you said goodbye that was a tragedy had to get a lesson in anatomy you just ran me over look out watch out got me on the defense thought love at first sight was just a false pretense took my hat off made me pledge allegiance everything was in divine sequence   justin bieber keep runnin' over me with your lovin' i'm only right here for your consumption keep runnin' over me with your lovin' lookin' like it's turnin' into something  post justin bieber better that than turnin' into nothing wayoh wayoh ain't no interruptin' this eruption wayoh wayoh   lil dicky ld uh i believe in love girl you got my hopes all up when i left you when i met you i called mom and told her 'bout it i got all up on your ig and was scrollin' down for hours i got back to 05 and you started lookin' young so i stopped ooh post intercourse when you walk by ass ass ass more buns than a shop rite woah and you wanna sleep over my crib let me go and get you a soft tshirt here soft tee what are our kids gonna be like hmm what is your skin routine like girl just run around bed with me i'll flirt with you all cleverly i'll lock you down pat beverley i'll kiss your breasts all tenderly what's up breast how you so hot and cute how i wanna make a language up with you you're already drivin' me crazy so just   justin bieber keep runnin' over me with your lovin' i'm only right here for your consumption keep runnin' over me with your lovin' lookin' like it's turnin' into something  post justin bieber better that than turnin' into nothing  wayoh wayoh ain't no interruptin' this eruption  wayoh wayoh
450,Drake,Tweets With T. Boone Pickens,Changes,2018,2018-05-21,drake the first million is the hardest  t boone pickens the first billion is a helluva lot harder rt drake the first million is the hardest  drake boonepickens just stunted on me heavy
451,Drake,Statement on Wireless,Changes,2014,2014-07-03,to my beloved fans it truly breaks my heart that i won't be able to perform as planned at wireless and roskilde this weekend i got sick a few days ago and although i am on my way to bouncing back my doctors have made it clear that i am not physically fit to fly or deliver the performance my fans expect and deserve from me i will be focused on resting for a quick recovery i have the best fans in the world and i can't wait to come back to make more incredible memories together
452,Katy Perry,Firework,Teenage Dream,2010,2010-08-24,do you ever feel like a plastic bag drifting through the wind wanting to start again do you ever feel feel so paperthin like a house of cards one blow from caving in do you ever feel already buried deep six feet under screams but no one seems to hear a thing do you know that there's still a chance for you 'cause there's a spark in you  pre you just gotta ignite the light and let it shine just own the night like the fourth of july   'cause baby you're a firework come on show 'em what you're worth make 'em go aah aah aah as you shoot across the sky baby you're a firework come on let your colors burst make 'em go aah aah aah you're gonna leave them all in awe awe awe   you don't have to feel like a waste of space you're original cannot be replaced if you only knew what the future holds after a hurricane comes a rainbow maybe a reason why all the doors are closed so you could open one that leads you to the perfect road like a lightning bolt your heart will glow and when it's time you'll know  pre you just gotta ignite the light and let it shine just own the night like the fourth of july   'cause baby you're a firework come on show 'em what you're worth make 'em go aah aah aah as you shoot across the sky baby you're a firework come on let your colors burst make 'em go aah aah aah you're gonna leave them all in awe awe awe   boom boom boom even brighter than the moon moon moon it's always been inside of you you you and now it's time to let it through   'cause baby you're a firework come on show 'em what you're worth make 'em go aah aah aah as you shoot across the sky baby you're a firework come on let your colors burst make 'em go aah aah aah you're gonna leave them all in awe awe awe   boom boom boom even brighter than the moon moon moon boom boom boom even brighter than the moon moon moon
453,Ariana Grande,​get well soon,Sweetener,2018,2018-08-17,you can feel it feel it yeah yeah   they say my system is overloaded girl whats wrong with you come back down i'm too much in my head did you notice girl whats wrong with you come back down my body's here on earth but i'm floatin' girl whats wrong with you come back down disconnected so sometimes i feel frozen and alone   this is for everybody babe you gotta take care of your body yuh yuh yuh ain't no time to deny it that is why we talking about it yeah we talking about it to deal with it don't try to get by it ain't no time to deny it so we had to sit down and just write it   want you to get better woo my life is so controlled by the whatifs girl whats wrong with you come back down is there anybody else whose mind does this mmm girl whats wrong with you come back down down down down down is there such a ladder to get above this down down down down down down down down girl whats wrong with you come back down down down down down down down down down maybe i should ground myself where the mud is before i'm gone   this is for everybody babe you gotta take care of your body yuh yuh yuh ain't no time to deny it that is why we talking about it baby yeah we talking about it to deal with it don't try to get by it ooh ain't no time to deny it yeah so we had to sit down and just write it   you can work your way to the top you can feel it feel it wooh just know that theres up and downs and there's drops you can feel it feel it wooh unfollow fear and just say you are blocked you can feel it feel it yuh woo just know there is so much room at the top you can feel it feel it ye woo  refrain ah ah ah well here's one thing you can trust yuh it take you and me to make us yeah one of those days you had enough yeah i'll be there yuh yuh yuh 'cause if it ain't one thing it's another it's another when you need someone to pull you out the bubble out the bubble i'll be right there just to hug you just to hug you i'll be there where are you are you home where are you are you home call me right on the phone call me right on the phone i'll be there ayy sheesh yeah i'll be there i don't care who is gone i don't care who is gone you shouldn't be alone you shouldn't be alone i'll be there mmm there   you can work your way to the top woo you can feel it feel it woo i'm with you i'm with you i'm with you just call me i'm with you i'm with you just know that theres up and downs and there's drops you can feel it feel it babe i'm with you i'm with you i'm with you just call me i'm with you i'm with you unfollow fear and just say you are blocked you can feel it feel it yuh i'm with you i'm with you i'm with you just call me i'm with you i'm with you just know there is so much room at the top you can feel it feel it yeh i'm with you i'm with you i'm with you just call me no matter the issue no matter what ah ah ah  refrain here's one thing you can trust yuh it take you and me to make us yeah yeah yeah one of those days you had enough yeah yeah yeah i'll be there i'll be there i'll be there 'cause if it ain't one thing it's another if you need someone to pull you out the bubble i'll be right there just to hug you i'll be there where are you are you home call me right on the phone i'll be there yeah i'll be there i'll be there i don't care who is gone you shouldn't be alone i'll be there ooh there   you can work your way to the top you can feel it feel it
454,Justin Bieber,Love Yourself,Purpose (Deluxe),2015,2015-11-13,produced by benny blanco   for all the times that you rained on my parade and all the clubs you get in using my name you think you broke my heart oh girl for goodness sake you think i'm cryin' on my own well i ain't  refrain and i didn't wanna write a song 'cause i didn't want anyone thinking i still care i don't but you still hit my phone up and baby i'll be movin' on and i think you should be somethin' i don't wanna hold back maybe you should know that  pre my mama don't like you and she likes everyone and i never like to admit that i was wrong and i've been so caught up in my job didn't see what's going on but now i know i'm better sleeping on my own   'cause if you like the way you look that much oh baby you should go and love yourself and if you think that i'm still holdin' on to somethin' you should go and love yourself   but when you told me that you hated my friends the only problem was with you and not them and every time you told me my opinion was wrong and tried to make me forget where i came from  refrain and i didn't wanna write a song 'cause i didn't want anyone thinking i still care i don't but you still hit my phone up and baby i'll be movin' on and i think you should be somethin' i don't wanna hold back maybe you should know that  pre my mama don't like you and she likes everyone and i never like to admit that i was wrong and i've been so caught up in my job didn't see what's going on but now i know i'm better sleeping on my own   'cause if you like the way you look that much oh baby you should go and love yourself and if you think that i'm still holdin' on to somethin' you should go and love yourself   for all the times that you made me feel small i fell in love now i feel nothin' at all i never felt so low and i was vulnerable was i a fool to let you break down my walls   'cause if you like the way you look that much oh baby you should go and love yourself and if you think that i'm still holdin' on to somethin' you should go and love yourself 'cause if you like the way you look that much oh baby you should go and love yourself and if you think that i'm still holdin' on to somethin' you should go and love yourself
455,Justin Bieber,Sorry,Purpose (Deluxe),2015,2015-10-23,written by julia michaels justin tranter and justin bieber   you gotta go and get angry at all of my honesty you know i try but i don't do too well with apologies i hope i don't run out of time could someone call a referee 'cause i just need one more shot at forgiveness i know you know that i made those mistakes maybe once or twice by once or twice i mean maybe a couple a hundred times so let me oh let me redeem oh redeem oh myself tonight 'cause i just need one more shot at second chances  pre yeah is it too late now to say sorry 'cause i'm missing more than just your body oh is it too late now to say sorry yeah i know that i let you down is it too late to say i'm sorry now   i'm sorry yeah sorry yeah sorry yeah i know that i let you down is it too late to say i'm sorry now   i'll take every single piece of the blame if you want me to but you know that there is no innocent one in this game for two i'll go i'll go and then you go you go out and spill the truth can we both say the words and forget this  pre yeah is it too late now to say sorry 'cause i'm missing more than just your body oh is it too late now to say sorry yeah i know that i let you down is it too late to say i'm sorry now   i'm not just trying to get you back on me oh no no 'cause i'm missing more than just your body your body oh is it too late now to say sorry yeah i know that i let you down is it too late to say i'm sorry now   i'm sorry yeah sorry oh sorry yeah i know that i let you down is it too late to say i'm sorry now i'm sorry yeah sorry oh sorry yeah i know that i let you down is it too late to say i'm sorry now
456,Justin Bieber,Yummy,Changes,2020,2020-01-03,yeah you got that yummyyum that yummyyum that yummyyummy yeah you got that yummyyum that yummyyum that yummyyummy say the word on my way yeah babe yeah babe yeah babe any night any day say the word on my way yeah babe yeah babe yeah babe in the mornin' or the late say the word on my way   bona fide stallion ain't in no stable no you stay on the run ain't on the side you're number one yeah every time i come around you get it done  pre fiftyfifty love the way you split it hundred racks help me spend it babe light a match get litty babe that jet set watch the sunset kinda yeah yeah rollin' eyes back in my head make my toes curl yeah yeah   yeah you got that yummyyum that yummyyum that yummyyummy yeah you got that yummyyum that yummyyum that yummyyummy say the word on my way yeah babe yeah babe yeah babe any night any day say the word on my way yeah babe yeah babe yeah babe in the mornin' or the late say the word on my way   standin' up keep me on the rise lost control of myself i'm compromised you're incriminating no disguise and you ain't never runnin' low on supplies  pre fiftyfifty love the way you split it hundred racks help me spend it babe light a match get litty babe that jet set watch the sunset kinda yeah yeah rollin' eyes back in my head make my toes curl yeah yeah   yeah you got that yummyyum that yummyyum that yummyyummy you stay flexin' on me yeah you got that yummyyum yeah yeah that yummyyum that yummyyummy say the word on my way yeah babe yeah babe yeah babe yeah babe any night any day say the word on my way yeah babe yeah babe yeah babe yeah babe in the mornin' or the late say the word on my way   hop in the lambo' i'm on my way drew house slippers on with a smile on my face i'm elated that you are my lady you got the yum yum yum yum you got the yum yumyum woah woahooh   yeah you got that yummyyum that yummyyum that yummyyummy yeah you got that yummyyum that yummyyum that yummyyummy say the word on my way yeah babe yeah babe yeah babe yeah babe any night any day say the word on my way yeah babe yeah babe yeah babe yeah babe in the mornin' or the late say the word on my way
457,Justin Bieber,As Long as You Love Me,Believe,2012,2012-06-11,justin bieber as long as you love me love me love me love me love me love me love me as long as you love me love me love me love me love me as long as you love me   justin bieber we're under pressure we're under pressure seven billion people in the world tryna fit in tryna fit in keep it together keep it together smile on your face even though your heart is frowning frowning but hey now hey now you know girl you know girl we both know it's a cruel world cruel world but i will but i will take my chances   justin bieber as long as you love me we could be starving we could be homeless we could be broke as long as you love me i'll be your platinum i'll be your silver i'll be your gold as long as you love me love me as long as you love me love me   justin bieber i'll be your soldier i'll be your soldier fighting every second of the day for your dreams girl for your dreams girl i'll be your hova i'll be your hova you could be my destiny's child on the scene girl so don't stress don't stress and don't cry and don't cry oh we don't need no wings to fly wings to fly just take take my hand   justin bieber as long as you love me we could be starving we could be homeless we could be broke as long as you love me i'll be your platinum i'll be your silver i'll be your gold as long as you love me love me as long as you love me love me   big sean whoa whoa big i don't know if this makes sense but you're my hallelujah give me a time and place i'll rendezvous it i'll fly you to it i'll beat you there girl you know i got you us trust a couple things i can't spell without 'u' now we on top of the world world 'cause that's just how we do used to tell me sky's the limit now the sky's our point of view man we stepping out like whoa oh god cameras point and shoot shoot ask me what's my best side i stand back and point at you you you the one that i argue with feel like i need a new girl to be bothered with but the grass ain't always greener on the other side it's green where you water it so i know we got issues baby true true true but i'd rather work on this with you than to go ahead and start with someone new as long as you love me   justin bieber as long as you love me yeah yeah baby we could be starving we could be homeless we could be broke as long as you love me i'll be your platinum platinum i'll be your silver i'll be your gold   justin bieber as long as you love me as long as you love me as long as you love me i'll be your silver i'll be your gold as long as you love me you love me you love me yeah it's all i want baby as long as you love me you love me please don't go as long as you love me as long as you love me as long as you love me yeah as long as you love me love me love me love me love me
458,Justin Bieber,Baby,My World 2.0,2010,2010-01-18,produced by thedream and tricky stewart   justin bieber oh woah oh woah oh woah   justin bieber you know you love me i know you care just shout whenever and ill be there you want my love you want my heart and we will never ever ever be apart are we an item girl quit playing were just friends what are you saying said there's another and looked right in my eyes my first love broke my heart for the first time and i was like   justin bieber baby baby baby oh like baby baby baby no like baby baby baby no oh thought you'd always be mine mine baby baby baby oh like baby baby baby no like baby baby baby no oh thought youd always be mine mine   justin bieber oh for you i would have done whatever and i just cant believe we ain't together and i wanna play it cool but i'm losing you i'll buy you anything i'll buy you any ring and i'm in pieces baby fix me and just shake me 'til you wake me from this bad dream i'm going down down down down and i just cant believe my first love wont be around and i'm like   justin bieber baby baby baby oh like baby baby baby no like baby baby baby no oh thought youd always be mine mine baby baby baby oh like baby baby baby no like baby baby baby no oh thought youd always be mine mine   ludacris luda when i was  i had my first love there was nobody that compared to my baby and nobody came between us nor could ever come above she had me going crazy oh i was starstruck she woke me up daily dont need no starbucks she made my heart pound and skip a beat when i see her in the street and at school on the playground but i really want to see her on the weekend she knows she's got me dazing cause she was so amazing and now my heart is breaking but i just keep on saying   justin bieber baby baby baby oh like baby baby baby no like baby baby baby no oh thought youd always be mine mine baby baby baby oh like baby baby baby no like baby baby baby no oh thought youd always be mine mine   justin bieber i'm gone yeah yeah yeah now i'm all gone yeah yeah yeah now i'm all gone yeah yeah yeah now i'm all gone gone gone gone i'm gone
459,Justin Bieber,What Do You Mean?,Purpose (Deluxe),2015,2015-08-28,what do you mean oh oh when you nod your head yes but you wanna say no what do you mean hey yeah when you don't want me to move but you tell me to go what do you mean oh what do you mean said you're runnin' outta time what do you mean oh oh oh what do you mean better make up your mind what do you mean   youre so indecisive of what i'm sayin' tryna catch the beat make up your heart don't know if you're happy or complainin' don't want for us to end where do i start  pre first you wanna go to the left then you wanna turn right right wanna argue all day makin' love all night all night first you're up then youre down and then between 'tween oh i really wanna know   what do you mean oh oh when you nod your head yes but you wanna say no what do you mean hey yeah when you don't want me to move but you tell me to go what do you mean oh what do you mean said you're runnin' outta time what do you mean oh oh oh what do you mean better make up your mind what do you mean   youre overprotective when i'm leavin' tryna compromise but i cant win you wanna make a point but you keep preachin' you had me from the start won't let this end  pre first you wanna go to the left then you wanna turn right turn right wanna argue all day makin' love all night all night first you're up then youre down and then between 'tween oh i really wanna know   what do you mean oh oh yeah yeah yeah yeah when you nod your head yes but you wanna say no what do you mean oh what do you mean hey yeah when you don't want me to move but you tell me to go what do you mean i wanna know ooh oh what do you mean ooh said you're runnin' outta time what do you mean oh baby oh oh oh what do you mean better make up your mind what do you mean don't be so selfish baby yeah yeah oh oh when you nod your head yes but you wanna say no what do you mean you're so confusin' baby hey yeah when you don't want me to move hey but you tell me to go what do you mean be more straightforward oh what do you mean hey ah ah ah said you're runnin' outta time what do you mean hey ah ah ah oh oh oh what do you mean better make up your mind what do you mean
460,Justin Bieber,Holy,Home for Christmas,2020,2020-09-18,justin bieber i hear a lot about sinners don't think that i'll be a saint but i might go down to the river 'cause the way that the sky opens up when we touch yeah it's makin' me say   justin bieber that the way you hold me hold me hold me hold me hold me feels so holy holy holy holy holy on god runnin' to the altar like a track star can't wait another second 'cause the way you hold me hold me hold me hold me hold me feels so holy   justin bieber i don't do well with the drama and no i can't stand it being fake no no no no no no no no i don't believe in nirvana but the way that we love in the night gave me life baby i can't explain   justin bieber that the way you hold me hold me hold me hold me hold me feels so holy holy holy holy holy on god runnin' to the altar like a track star can't wait another second 'cause the way you hold me hold me hold me hold me hold me feels so holy   justin bieber  chance the rapper they say we're too young and the pimps and the players say don't go crushin' wise men say fools rush in but i don't know ahahahah they say we're too young and the pimps and the players say don't go crushin' wise men say fools rush in but i don't know chance the rapper   chance the rapper the first step pleases the father might be the hardest to take but when you come out of the water i'm a believer my heart is fleshy life is short with a temper like joe pesci they always come and sing your praises your name is catchy but they don't see you how i see you parlay and desi cross tween tween hesi' hit the jet speed when they get messy go lefty like lionel messi let's take a trip and get the vespas or rent a jet ski i know the spots that got the best weed we goin' next week i wanna honor wanna honor you bride's groom i'm my father's child i know when the son takes the first steps the father's proud yes if you make it to the water he'll part the clouds uh i know he made you a snack like oscar proud mwah suffer it to be so now gotta clean it up ooh formalize the union in communion he can trust woo i know i ain't leavin' you like i know he ain't leavin' us ah i know we believe in god and i know god believes in us   justin bieber 'cause the way you hold me hold me hold me hold me hold me feels so holy holy holy holy holy on god runnin' to the altar like a track star can't wait another second on god runnin' to the altar like a track star can't wait another second on god runnin' to the altar like a track star can't wait another second 'cause the way you hold me hold me hold me hold me feels so hohohoholy
461,Justin Bieber,Intentions,Changes,2020,2020-02-07,justin bieber picture perfect you don't need no filter gorgeous make 'em drop dead you a killer shower you with all my attention yeah these are my only intentions stay in the kitchen cookin' up got your own bread heart full of equity you're an asset make sure that you don't need no mentions yeah these are my only intentions   justin bieber shoutout to your mom and dad for makin' you standin' ovation they did a great job raisin' you when i create you're my muse that kind of smile that makes the news can't nobody throw shade on your name in these streets triple threat you a boss you a bae you a beast you make it easy to choose you got a mean touch i can't refuse no i can't refuse it   justin bieber picture perfect you don't need no filter gorgeous make 'em drop dead you a killer shower you with all my attention yeah these are my only intentions stay in the kitchen cookin' up got your own bread heart full of equity you're an asset make sure that you don't need no mentions yeah these are my only intentions   justin bieber already pass you don't need no approval good everywhere don't worry 'bout no refusal second to none you got the upper hand now don't need a sponsor nope you're the brand now you're my rock my colorado get that ring just like toronto love you now a little more tomorrow this how i feel act like you know that you are   justin bieber  quavo picture perfect you don't need no filter gorgeous make 'em drop dead you a killer shower you with all my attention yeah these are my only intentions stay in the kitchen cookin' up got your own bread whip it heart full of equity you're an asset asset make sure that you don't need no mentions yeah yeah yeah these are my only intentions quavo   quavo no cap no pretendin' you don't need mentions no cap got 'em sayin' goals they don't wanna be independent 'pendent tell them to mind your business woo we in our feelings it's fiftyfifty percentage fifty attention we need commitment oh we gotta both admit it both it's funny we both listen both it's a blessing blessing 'cause we both get it both you the best thing woo and i don't need a witness best thing i'ma find me a ring and pray it's perfect fitted perfect perfect   justin bieber picture perfect you don't need no filter no filter gorgeous make 'em drop dead you a killer ohoh shower you with all my attention i will yeah these are my only intentions yeah stay in the kitchen cookin' up got your own bread you do heart full of equity you're an asset uhhuh make sure that you don't need no mentions no mentions yeah these are my only intentions   justin bieber only intentions that's all i plan to do
462,Justin Bieber,Confident,Journals,2013,2013-12-09,produced by soundz   justin bieber don't do it to me don't do it to me oh no no oh no no don't do it to me oh no no oh no no don't do it to me oh no no oh no no don't do it to me oh no no oh no no   justin bieber focused i'm focused she got a body like that i ain't never seen nothin' like that uhuh like a fantasy in front of me yeah i think that something special is going down that's right i think she foreign foreign i think she foreign foreign got passports mi amor 'mor started slow slow got faster she gon' work some more more work some more more no stopping her now now now no stopping her now now now now now  pre justin bieber then she started dancing sexual romancing nasty but she fancy lipstick on my satin sheets what's your nationality i wonder if there's more of you she's got my attention she's confident   justin bieber oh no no oh no no she's confident oh no no oh no no and i'm down with it oh no no oh no no she's confident you could tell by the way she walks in the room  post justin bieber she said it's her first time oh yeah yeah i think she might have lied feels so good damn oh yeah yeah and i don't know why i'm addicted oh yeah yeah something like an addict got me twisted oh yeah yeah but still i gotta have it   justin bieber explosive explosive i could still smell her perfume it's not hard to notice that i'm open hypnotized by the way she moves  pre justin bieber then she started dancing sexual romancing nasty but she fancy mona lisa masterpiece what's your nationality i wonder if there's more of you she's got my attention she's confident   justin bieber oh no no oh no no she's confident oh no no oh no no and i'm down with it oh no no oh no no she's confident you could tell by the way she walks in the room  post justin bieber  chance the rapper she said it's her first time oh yeah yeah i think she might have lied feels so good damn oh yeah yeah and i don't know why igh i'm addicted oh yeah yeah something like an addict oohwoo got me twisted oh yeah yeah but still i gotta have it chance the rapper igh   chance the rapper  justin bieber tattoos piercings and she just learned to twerk oh she ain't got a heart or an ass just her brains gotta ask 'cause her ass on a learning curve oh and she love to hurn the berb i mean burn the word that's only legal with a doctor's note oh real deep pockets like a doctor's coat igh igh stay faded like diddy hair back tryna rock the boat she the first mate when i rock the boat igh she never forget to ride like a bicycle she like planes trains chains with icicles it goes her blank blank and rock and roll igh she say i know honey bunny that's the funny thing ooh thots twerk for the goodfellas she money dance with the money team igh she's confident   justin bieber oh no no oh no no she's confident oh no no oh no no and i'm down with it oh no no oh no no she's confident you could tell by the way she walks in the room  post justin bieber she said it's her first time oh yeah yeah i think she might have lied feels so good damn oh yeah yeah and i don't know why i'm addicted oh yeah yeah something like an addict got me twisted oh yeah yeah but still i gotta have it   justin bieber  chance the rapper still i gotta have it yeah still i gotta have it alright still i gotta have it yeah alright oh no no oh no no oh no no yeah oh no no oh no no oh no no alright oh no no oh no no oh no no yeah oh no no oh no no but still i gotta have it
